kkr,icd10_3d,cnt
10-SL,C75,4
10-SL,C76,1
10-SL,C80,72
10-SL,C81,39
10-SL,C82,45
10-SL,C83,136
10-SL,C84,11
10-SL,C85,6
10-SL,C86,6
10-SL,C88,17
10-SL,C90,73
10-SL,C91,15
10-SL,C92,26
10-SL,C93,4
10-SL,C96,4
10-SL,D00,6
10-SL,D01,65
10-SL,D02,3
10-SL,D03,719
10-SL,D05,372
10-SL,D06,302
10-SL,D07,74
10-SL,D09,698
10-SL,D32,197
10-SL,D33,50
10-SL,D35,40
10-SL,D37,12
10-SL,D38,2
10-SL,D39,78
10-SL,D40,4
10-SL,D41,9
10-SL,D42,44
10-SL,D43,44
10-SL,D44,7
10-SL,D46,4
10-SL,D47,8
10-SL,D48,71
11-BE,C00,90
11-BE,C01,133
11-BE,C02,334
11-BE,C03,203
11-BE,C04,202
11-BE,C05,90
11-BE,C06,92
11-BE,C07,134
11-BE,C08,43
11-BE,C09,333
11-BE,C10,117
11-BE,C11,23
11-BE,C12,19
11-BE,C13,77
11-BE,C14,6
11-BE,C15,490
11-BE,C16,1406
11-BE,C17,394
11-BE,C18,5652
11-BE,C19,24
11-BE,C20,2229
11-BE,C21,214
11-BE,C22,548
11-BE,C23,170
11-BE,C24,359
11-BE,C25,1325
11-BE,C26,6
11-BE,C30,106
11-BE,C31,49
11-BE,C32,484
11-BE,C33,2
11-BE,C34,3743
11-BE,C37,100
11-BE,C38,9
11-BE,C40,58
11-BE,C41,60
11-BE,C43,3074
11-BE,C45,140
11-BE,C46,21
11-BE,C47,11
11-BE,C48,120
11-BE,C49,399
11-BE,C50,12432
11-BE,C51,418
11-BE,C52,51
11-BE,C53,843
11-BE,C54,1845
11-BE,C55,34
11-BE,C56,1045
11-BE,C57,78
11-BE,C58,2
11-BE,C60,155
11-BE,C61,6325
11-BE,C62,809
11-BE,C63,13
11-BE,C64,2036
11-BE,C65,192
11-BE,C66,129
11-BE,C67,3169
11-BE,C68,53
11-BE,C69,152
11-BE,C70,8
11-BE,C71,1047
11-BE,C72,33
11-BE,C73,1115
11-BE,C74,44
11-BE,C75,20
11-BE,C76,71
11-BE,C80,310
11-BE,C81,67
11-BE,C82,104
11-BE,C83,222
11-BE,C84,25
11-BE,C85,30
11-BE,C86,15
11-BE,C88,31
11-BE,C90,50
11-BE,C91,15
11-BE,C92,9
11-BE,C93,2
11-BE,C96,12
11-BE,D00,69
11-BE,D01,1142
11-BE,D02,66
11-BE,D03,717
11-BE,D05,1489
11-BE,D06,6788
11-BE,D07,629
11-BE,D09,3214
11-BE,D32,780
11-BE,D33,334
11-BE,D35,280
11-BE,D39,312
11-BE,D41,23
11-BE,D42,70
11-BE,D43,115
11-BE,D44,15
11-BE,D46,1
12-BB,C00,99
12-BB,C01,139
12-BB,C02,278
12-BB,C03,168
12-BB,C04,222
