Vitalstatus_YY,Vitalstatus_MM,z_kkr_label,cnt
2025,M02,12-BB,1161
2025,M02,13-MV,273
2025,M02,14-SN,21100
2025,M02,15-ST,2924
2025,M02,16-TH,2076
2025,M03,01-SH,52
2025,M03,03-NI,12
2025,M03,04-HB,24
2025,M03,06-HE,2239
2025,M03,09-BY,4187
2025,M03,10-SL,399
2025,M03,11-BE,1009
2025,M03,12-BB,1093
2025,M03,13-MV,9914
2025,M03,14-SN,11599
2025,M03,15-ST,2797
2025,M03,16-TH,2028
2025,M04,01-SH,61
2025,M04,03-NI,10
2025,M04,04-HB,16
2025,M04,06-HE,1829
2025,M04,09-BY,3675
2025,M04,10-SL,197
2025,M04,11-BE,650
2025,M04,12-BB,841
2025,M04,13-MV,584
2025,M04,14-SN,8796
2025,M04,15-ST,2155
2025,M04,16-TH,1516
2025,M05,01-SH,52
2025,M05,03-NI,11
2025,M05,04-HB,23
2025,M05,06-HE,1753
2025,M05,09-BY,3246
2025,M05,10-SL,149
2025,M05,11-BE,443
2025,M05,12-BB,696
2025,M05,13-MV,489
2025,M05,14-SN,16521
2025,M05,15-ST,2238
2025,M05,16-TH,1711
2025,M06,01-SH,60
2025,M06,03-NI,6
2025,M06,04-HB,13
2025,M06,06-HE,1569
2025,M06,09-BY,2608
2025,M06,10-SL,85
2025,M06,11-BE,337
2025,M06,12-BB,625
2025,M06,13-MV,1420
2025,M06,14-SN,24645
2025,M06,15-ST,1805
2025,M06,16-TH,1623
2025,M07,01-SH,56
2025,M07,03-NI,11
2025,M07,04-HB,29
2025,M07,06-HE,1710
2025,M07,09-BY,2728
2025,M07,10-SL,50
2025,M07,11-BE,262
2025,M07,12-BB,634
2025,M07,13-MV,775
2025,M07,14-SN,9687
2025,M07,15-ST,1398
2025,M07,16-TH,1145
2025,M08,01-SH,57
2025,M08,03-NI,4
2025,M08,04-HB,25
2025,M08,06-HE,1464
2025,M08,09-BY,1652
2025,M08,10-SL,35
2025,M08,11-BE,129
2025,M08,12-BB,325
2025,M08,13-MV,447
2025,M08,14-SN,14419
2025,M08,15-ST,1210
2025,M08,16-TH,926
2025,M09,01-SH,44
2025,M09,03-NI,159367
2025,M09,04-HB,18668
2025,M09,06-HE,1451
2025,M09,09-BY,1475
2025,M09,10-SL,41
2025,M09,11-BE,103
2025,M09,12-BB,235
2025,M09,13-MV,656
2025,M09,14-SN,15480
2025,M09,15-ST,1095
2025,M09,16-TH,901
2025,M10,01-SH,30
2025,M10,03-NI,6609
2025,M10,04-HB,239
2025,M10,06-HE,1192
2025,M10,09-BY,1228
2025,M10,10-SL,22
2025,M10,11-BE,30
2025,M10,12-BB,81
2025,M10,13-MV,51785
2025,M10,14-SN,8472
2025,M10,15-ST,568
2025,M10,16-TH,679
2025,M11,03-NI,8024
2025,M11,04-HB,69
2025,M11,06-HE,1094
2025,M11,09-BY,693
2025,M11,10-SL,24
2025,M11,11-BE,17
2025,M11,12-BB,34
2025,M11,13-MV,3163
2025,M11,14-SN,2871
2025,M11,15-ST,291
2025,M11,16-TH,578
2025,M12,01-SH,3
2025,M12,03-NI,6638
2025,M12,04-HB,20
2025,M12,06-HE,750
2025,M12,09-BY,209
2025,M12,10-SL,19
2025,M12,11-BE,2
2025,M12,12-BB,3
2025,M12,13-MV,2516
2025,M12,14-SN,2241
2025,M12,15-ST,91
2025,M12,16-TH,211
2026,M01,01-SH,134472
2026,M01,03-NI,5488
2026,M01,06-HE,517
2026,M01,09-BY,31
2026,M01,10-SL,32
2026,M01,13-MV,1232
2026,M01,14-SN,7896
2026,M01,15-ST,14
2026,M01,16-TH,10
2026,M02,01-SH,17
2026,M02,03-NI,249
2026,M02,06-HE,275
2026,M02,10-SL,24
2026,M02,13-MV,2
2026,M02,14-SN,637
2026,M03,06-HE,16
2026,M12,13-MV,1
2026,M12,16-TH,1
